spermatogonia,meiosis prophase I,spermatid development,Sertoli_cell_GOtermSertoli cell development,ARTICLE:Meiotic Silencing in Mammals,piRNA process (GO+ARTICLE),genes on chr X and Y,,
,,Ttll1,,,,Acsl4,,
,,Tuba8,,,,Chrdl1,,
,,Ube2j1,,,,Pak3,,
,,Vdac3,,,,Dcx,,
,,Zmynd15,,,,Il13ra2,,
,,,,,,Lrch2,,
,,,,,,Cdkl5,,
,,,,,,Rs1,,
,,,,,,Phka2,,
,,,,,,Slc7a3,,
,,,,,,Adgrg2,,
,,,,,,Pdha1,,
,,,,,,Nlgn3,,
,,,,,,Map3k15,,
,,,,,,Il2rg,,
,,,,,,Rps6ka3,,
,,,,,,Zmym3,,
,,,,,,Nono,,
,,,,,,Itgb1bp2,,
,,,,,,Taf1,,
,,,,,,Rps4x,,
,,,,,,Dmrtc1a,,
,,,,,,Chic1,,
,,,,,,Flna,,
,,,,,,Tsx,,
,,,,,,Zcchc13,,
,,,,,,Abcb7,,
,,,,,,Mtm1,,
,,,,,,Gabre,,
,,,,,,Gpm6b,,
,,,,,,Gabra3,,
,,,,,,Gabrq,,
,,,,,,Cetn2,,
,,,,,,Nsdhl,,
,,,,,,Zfp185,,
,,,,,,Hccs,,
,,,,,,Rbbp7,,
,,,,,,Arhgap6,,
,,,,,,Syap1,,
,,,,,,Msl3,,
,,,,,,Ctps2,,
,,,,,,Xlr4c,,
,,,,,,Zfp275,,
,,,,,,Ap1s2,,
,,,,,,Zrsr2,,
,,,,,,Haus7,,
,,,,,,Trex2,,
,,,,,,Car5b,,
,,,,,,Zfp92,,
,,,,,,Bgn,,
,,,,,,Atp2b3,,
,,,,,,Bmx,,
,,,,,,Abcd1,,
,,,,,,Pir,,
,,,,,,Vegfd,,
,,,,,,Piga,,
,,,,,,Asb11,,
,,,,,,Dusp9,,
,,,,,,Asb9,,
,,,,,,Plxnb3,,
,,,,,,Hcfc1,,
,,,,,,Renbp,,
,,,,,,Naa10,,
,,,,,,Arhgap4,,
,,,,,,L1cam,,
,,,,,,Irak1,,
,,,,,,Mecp2,,
,,,,,,Tktl1,,
,,,,,,Plxna3,,
,,,,,,Fam3a,,
,,,,,,G6pdx,,
,,,,,,Mpp1,,
,,,,,,Dkc1,,
,,,,,,Tceal6,,
,,,,,,Nxf7,,
,,,,,,Pramex1,,
,,,,,,Morf4l2,,
,,,,,,Kir3dl1,,
,,,,,,Plp1,,
,,,,,,Zcchc18,,
,,,,,,Psmd10,,
,,,,,,Vsig1,,
,,,,,,Tsc22d3,,
,,,,,,Prps1,,
,,,,,,Rbm41,,
,,,,,,Morc4,,
,,,,,,Rnf128,,
,,,,,,Gab3,,
,,,,,,Slc10a3,,
,,,,,,1700031F05Rik,,
,,,,,,Magea4,,
,,,,,,Prrg3,,
,,,,,,Armcx2,,
,,,,,,Armcx1,,
,,,,,,Tmem35a,,
,,,,,,Fndc3c1,,
,,,,,,Tlr13,,
,,,,,,Atp7a,,
,,,,,,Zdhhc15,,
,,,,,,Slc16a2,,
,,,,,,Phka1,,
,,,,,,Ogt,,
,,,,,,Kif4,,
,,,,,,Pja1,,
,,,,,,Eda2r,,
,,,,,,Diaph2,,
,,,,,,Hdx,,
,,,,,,Tex16,,
,,,,,,Pof1b,,
,,,,,,Pabpc5,,
,,,,,,Pcdh11x,,
,,,,,,Zc3h12b,,
,,,,,,Zc4h2,,
,,,,,,Eif2s3x,,
,,,,,,Pdk3,,
,,,,,,Pcyt1b,,
,,,,,,Arx,,
,,,,,,Mid1,,
,,,,,,Dcaf8l,,
,,,,,,Mageb4,,
,,,,,,Tab3,,
,,,,,,Fthl17a,,
,,,,,,Tsga8,,
,,,,,,4930480E11Rik,,
,,,,,,Prkx,,
,,,,,,Cd99l2,,
,,,,,,Ids,,
,,,,,,Ints6l,,
,,,,,,Fam122c,,
,,,,,,Fam122b,,
,,,,,,Mbnl3,,
,,,,,,Frmd7,,
